Architecture,MSE,MAE,Accuracy,Balanced Accuracy,F1 Score,Precision
basic,0.11991896613676632,0.11991896613676632,0.8800810338632337,0.8800454697362383,0.865409245839539,0.9856377182534655
deep,0.0696519508840621,0.0696519508840621,0.9303480491159379,0.9303277132041303,0.925706733628494,0.9914252633426469
dropout,0.09043949099830251,0.09043949099830251,0.9095605090016975,0.909535040114304,0.9018926304216046,0.9850611295759099
batch_norm,0.09259543781828095,0.09259543781828095,0.907404562181719,0.9073760322030731,0.8985238424363728,0.9934481557549334
maxpool,0.09269456181000409,0.09269456181000409,0.9073054381899959,0.9072805608060686,0.8996433031815639,0.9803302460473384
global_avg,0.12329413805493947,0.12329413805493947,0.8767058619450605,0.8766761224950619,0.8643326248222474,0.9603647821608192
